"","out_base_count_state","runs_expected","occurrences"
"1","0_000_00",0.508740475123263,44620
"2","0_000_01",0.469922394203147,23323
"3","0_000_02",0.416666666666667,11928
"4","0_000_10",0.542115983704769,16692
"5","0_000_11",0.486275162202629,18033
"6","0_000_12",0.430344275420336,17486
"7","0_000_20",0.613068078116445,5479
"8","0_000_21",0.554787649091517,8971
"9","0_000_22",0.467067468269873,14970
"10","0_000_30",0.728844966028413,1619
"11","0_000_31",0.668674698795181,3652
"12","0_000_32",0.587338262476895,8656
"13","0_001_00",1.43006993006993,286
"14","0_001_01",1.3758865248227,141
"15","0_001_02",1.46341463414634,82
"16","0_001_10",1.40944881889764,127
"17","0_001_11",1.50340136054422,147
"18","0_001_12",1.22137404580153,131
"19","0_001_20",1.39655172413793,58
"20","0_001_21",1.52830188679245,106
"21","0_001_22",1.52857142857143,140
"22","0_001_30",1.68181818181818,22
"23","0_001_31",1.24528301886792,53
"24","0_001_32",1.5078125,128
"25","0_010_00",1.1668657905217,2511
"26","0_010_01",1.1038338658147,1252
"27","0_010_02",1.02292263610315,698
"28","0_010_10",1.23215984776403,1051
"29","0_010_11",1.14178403755869,1065
"30","0_010_12",1.03041474654378,1085
"31","0_010_20",1.27529411764706,425
"32","0_010_21",1.21786833855799,638
"33","0_010_22",1.05089820359281,1002
"34","0_010_30",1.38194444444444,144
"35","0_010_31",1.27124183006536,306
"36","0_010_32",1.03730272596844,697
"37","0_011_00",1.93115942028985,552
"38","0_011_01",1.77431906614786,257
"39","0_011_02",1.62251655629139,151
"40","0_011_10",2.05622489959839,249
"41","0_011_11",1.92213114754098,244
"42","0_011_12",1.71615720524017,229
"43","0_011_20",2.09302325581395,86
"44","0_011_21",1.67424242424242,132
"45","0_011_22",1.90760869565217,184
"46","0_011_30",2.36842105263158,38
"47","0_011_31",1.68181818181818,66
"48","0_011_32",1.7787610619469,113
"49","0_100_00",0.892711424332344,10784
"50","0_100_01",0.834411876665398,5254
"51","0_100_02",0.716738197424893,2796
"52","0_100_10",0.939121756487026,4008
"53","0_100_11",0.877529566360053,3805
"54","0_100_12",0.734803505795872,3537
"55","0_100_20",1.02232854864434,1254
"56","0_100_21",0.970313358988455,1819
"57","0_100_22",0.875584322186264,2781
"58","0_100_30",1.13513513513514,407
"59","0_100_31",0.998650472334683,741
"60","0_100_32",1.00130208333333,1536
"61","0_101_00",1.81321184510251,878
"62","0_101_01",1.72992700729927,411
"63","0_101_02",1.57142857142857,210
"64","0_101_10",1.8371335504886,307
"65","0_101_11",1.72491909385113,309
"66","0_101_12",1.81428571428571,280
"67","0_101_20",1.85714285714286,91
"68","0_101_21",1.72868217054264,129
"69","0_101_22",1.63720930232558,215
"70","0_101_30",2.375,24
"71","0_101_31",2.16363636363636,55
"72","0_101_32",2.12295081967213,122
"73","0_110_00",1.45710973724884,2588
"74","0_110_01",1.36444086886565,1243
"75","0_110_02",1.10305958132045,621
"76","0_110_10",1.50397614314115,1006
"77","0_110_11",1.42399172699069,967
"78","0_110_12",1.17345750873108,859
"79","0_110_20",1.69300911854103,329
"80","0_110_21",1.53027139874739,479
"81","0_110_22",1.19744318181818,704
"82","0_110_30",1.94594594594595,111
"83","0_110_31",1.91282051282051,195
"84","0_110_32",1.73368146214099,383
"85","0_111_00",2.23504273504274,702
"86","0_111_01",2.08985507246377,345
"87","0_111_02",1.78947368421053,171
"88","0_111_10",2.37078651685393,267
"89","0_111_11",2.31228070175439,285
"90","0_111_12",2.0746887966805,241
"91","0_111_20",2.33707865168539,89
"92","0_111_21",2.16030534351145,131
"93","0_111_22",2.12162162162162,222
"94","0_111_30",2.5,26
"95","0_111_31",2.48076923076923,52
"96","0_111_32",2.76744186046512,129
"97","1_000_00",0.269865857058769,32279
"98","1_000_01",0.241338183552985,16769
"99","1_000_02",0.221028571428571,8750
"100","1_000_10",0.291792322112642,12269
"101","1_000_11",0.261517409153109,13154
"102","1_000_12",0.218230102319769,12803
"103","1_000_20",0.31645885286783,4010
"104","1_000_21",0.302108076009501,6736
"105","1_000_22",0.256729719898145,10996
"106","1_000_30",0.378006872852234,1164
"107","1_000_31",0.353136531365314,2710
"108","1_000_32",0.313417190775681,6678
"109","1_001_00",0.990983606557377,1220
"110","1_001_01",0.929794520547945,584
"111","1_001_02",0.947802197802198,364
"112","1_001_10",0.983576642335766,548
"113","1_001_11",0.884848484848485,495
"114","1_001_12",0.788571428571429,525
"115","1_001_20",0.952380952380952,210
"116","1_001_21",0.828070175438597,285
"117","1_001_22",0.81858407079646,452
"118","1_001_30",1.08333333333333,96
"119","1_001_31",0.942675159235669,157
"120","1_001_32",0.85459940652819,337
"121","1_010_00",0.712830013895322,4318
"122","1_010_01",0.671945701357466,2210
"123","1_010_02",0.615695792880259,1236
"124","1_010_10",0.749032614704257,1809
"125","1_010_11",0.699008868022952,1917
"126","1_010_12",0.602791196994096,1863
"127","1_010_20",0.783132530120482,664
"128","1_010_21",0.732600732600733,1092
"129","1_010_22",0.590493601462523,1641
"130","1_010_30",0.909871244635193,233
